participant_number,order,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_cfr_answer,trial_1_response,trial_1_score,trial_2,trial_2_cfr_answer,trial_2_response,trial_2_score,trial_3,trial_3_cfr_answer,trial_3_response,trial_3_score,trial_4,trial_4_cfr_answer,trial_4_response,trial_4_score,trial_1_to_4_total_score,trial_5,trial_5_cfr_answer,trial_5_response,trial_5_score,trial_6,trial_6_cfr_answer,trial_6_response,trial_6_score,trial_7,trial_7_cfr_answer,trial_7_response,trial_7_score,trial_8,trial_8_cfr_answer,trial_8_response,trial_8_score,trial_5_to_8_total_score,notes,exclude,exclude_reason,notes,,
44,1,12/21/2023,This_Or_That_20231221_Lookit_SZ_2,180955,7e14791e-9744-4e79-8717-5b24813ec988,1460-1826,1680,4.60,male,en,harry,harry,order1_basketball_left_egg_right,egg,basketball,0,order1_bear_left_vase_right, vase,toy_bear,0,order1_duck_left_phone_right,phone,phone and ducky,0,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone and ducky,0,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_bear_left_vase_right_granny,vase,toy_bear,0,1,,,,,,
45,1,12/21/2023,This_Or_That_20231221_Lookit_SZ_6,181010,6279f17f-9d1d-46e6-85f8-b55d7ce2ece3,1460-1826,1800,4.93,female,en ml,benji,harry,order1_vase_left_bear_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,ducky,0,order1_basketball_left_egg_right,egg,basketball,0,1,order1_basketball_left_egg_right_granny,egg,basketball,0,order1_vase_left_bear_right_granny,vase,toy_bear,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone, ducky,0,1,,,,,,
46,2,12/26/23,This_Or_That_20231226_Lookit_SZ_2,181661,36500104-4eff-44bb-9de1-f1fd77582ce4,1460-1826,1500,4.11,male,en yue,benji,harry,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order2_duck_left_phone_right_granny,phone,ducky,0,order2_vase_left_bear_right_granny,vase,toy_bear,0,0,order2_duck_left_phone_right,phone,phone,1,order2_egg_left_basketball_right,egg,egg,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,3,,,,,,
47,2,12/30/23,This_Or_That_20231230_Lookit_SZ_3,182393,be46b634-73e4-49b9-9c12-fbe6e41f8105,1460-1826,1710,4.68,female,en cmn,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,phone,1,4,order2_phone_left_duck_right,phone,ducky,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_basketball_left_egg_right,egg,basketball,0,order2_vase_left_bear_right,vase,toy_bear,0,1,,,,,,
48,2,12/31/23,This_Or_That_20231231_Lookit_SZ_3,182533,7c6d11c0-db0a-4551-a7fc-cef271e93816,1460-1826,1620,4.44,female,en cmn vi,benji,,order2_duck_left_phone_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,toy_bear,0,2,order2_egg_left_basketball_right,egg,egg,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_phone_left_duck_right,phone,phone,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,3,,,,,,
49,2,1/1/24,This_Or_That_20240101_Lookit_SZ_5,182657,6b9d3a2a-c133-40ce-b9cc-20102a5c1b86,1460-1826,1500,4.11,male,en,benji,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_phone_left_duck_right_granny,phone,ducky,0,order2_basketball_left_egg_right_granny,egg,egg,1,2,order2_basketball_left_egg_right,egg,egg,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,phone,1,3,,,,,,
50,2,1/1/24,This_Or_That_20240101_Lookit_SZ_8,182697,b2058229-fd35-4106-b569-04d9517fd29f,1460-1826,1650,4.52,male,en,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,vase,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,4,order2_duck_left_phone_right,phone,ducky,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_basketball_left_egg_right,egg,egg,1,2,,,,,,
51,2,1/2/24,This_Or_That_20240102_Lookit_SZ_4,182826,25c16ac0-93f5-4c33-9d29-eaa9d1862d24,1460-1826,1710,4.68,male,en,benji,benji,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,order2_egg_left_basketball_right_granny,egg,egg,1,4,order2_phone_left_duck_right,phone,ducky,0,order2_egg_left_basketball_right,egg,basketball,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,1,,,,,,
52,2,1/2/24,This_Or_That_20240102_Lookit_SZ_6,182849,0dfe62a4-007a-44f4-934b-2c7e2daa4b38,1460-1826,1710,4.68,female,en pl es,benji,harry,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_basketball_left_egg_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,3,order2_icecream_left_sunscreen_right,ice_cream,sunscreen,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_duck_left_phone_right,phone,phone,1,order2_basketball_left_egg_right,egg,basketball,0,1,,,,,,
53,2,1/2/24,This_Or_That_20240102_Lookit_SZ_10,182909,5db47f75-1f01-47a4-83d2-781bf5219eca,1460-1826,1500,4.11,male,en es,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,4,order2_vase_left_bear_right,vase,vase,1,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,egg,1,order2_phone_left_duck_right,phone,phone,1,4,,,,,,
54,2,1/4/24,This_Or_That_20240104_Lookit_SZ_1,183215,e9bfe2ba-6bc4-4cca-9907-ca0fc108bd62,1460-1826,1530,4.19,male,en,benji,harry,order2_duck_left_phone_right_granny,phone,phone,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_egg_left_basketball_right_granny,egg, basketball,0,3,order2_egg_left_basketball_right,egg,basketball,0,order2_phone_left_duck_right,phone,phone,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,sunscreen,0,1,,,,,,
55,2,1/5/24,This_Or_That_20240105_Lookit_SZ_1,183401,1031a525-f899-4c98-bf1d-6b10db26495e,1460-1826,1530,4.19,female,en so,harry,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order2_phone_left_duck_right_granny,phone,phone,1,order2_egg_left_basketball_right_granny,egg,egg,1,2,order2_phone_left_duck_right,phone,phone,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,sunscreen,0,order2_basketball_left_egg_right,egg,egg,1,2,,,,,,
56,2,1/5/24,This_Or_That_20240105_Lookit_SZ_3,183403,6a046073-0c16-4e49-bf6c-453848d6f852,1460-1826,1710,4.68,male,en,benji,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_egg_left_basketball_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,3,order2_egg_left_basketball_right,egg,egg,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,ducky,0,2,,,,,,
57,2,1/6/24,This_Or_That_20240106_Lookit_SZ_1,183547,7452d980-7d46-41fa-928c-1ab08d0c39c9,1460-1826,1650,4.52,male,en ru,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,ducky,0,3,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,vase,1,order2_egg_left_basketball_right,egg,egg,1,order2_duck_left_phone_right,phone,ducky,0,3,,,,,,
58,2,1/6/24,This_Or_That_20240106_Lookit_SZ_2,183591,72897a69-4832-4f12-a54f-d33e6cf2f52f,1460-1826,1500,4.11,male,en,benji,harry,order2_basketball_left_egg_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,4,order2_egg_left_basketball_right,egg,basketball,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_duck_left_phone_right,phone,phone,1,order2_vase_left_bear_right,vase,vase,1,3,,,,,,
59,2,1/6/24,This_Or_That_20240106_Lookit_SZ_6,183720,010b7c8b-f641-41b8-aecd-717196cd8ae1,1460-1826,1650,4.52,female,en,benji,harry,order2_bear_left_vase_right_granny,vase,vase,1,order2_basketball_left_egg_right_granny,egg,basketball,0,order2_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order2_duck_left_phone_right_granny,phone,phone,1,2,order2_basketball_left_egg_right,egg,basketball,0,order2_duck_left_phone_right,phone,phone,1,order2_bear_left_vase_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,2,,,,,,
60,2,1/7/24,This_Or_That_20240107_Lookit_SZ_1,183761,7bfba2e6-29c9-4dba-a99a-bc7a650383cc,1460-1826,1770,4.85,female,en cmn,benji,harry,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_egg_left_basketball_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,ducky,0,2,order2_egg_left_basketball_right,egg,basketball,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_duck_left_phone_right,phone,ducky,0,order2_bear_left_vase_right,vase,toy_bear,0,1,,,,,,
61,1,10/24/2023,This_Or_That_20231024_Lookit_SZ_16,164241,6fc3e37e-a465-43c9-bfb4-2fbd0b3c151c,1826-2190,1860,5.10,male,en,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,phone,1,3,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order1_duck_left_phone_right_granny,phone,ducky,0,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,basketball,0,1,,,,,164190,
62,1,12/2/2023,This_Or_That_20231203_Lookit_SZ_2,176441,1b1d5644-5d03-45a6-80cf-66109b424f56,1826-2190,1950,5.34,female,en,benji,harry,order1_bear_left_vase_right,vase,toy_bear,0,order1_duck_left_phone_right,phone,ducky,0,order1_basketball_left_egg_right,egg,"basketball, egg",0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,1,order1_bear_left_vase_right_granny,vase,toy_bear,0,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,ducky,0,order1_egg_left_basketball_right_granny,egg,egg,1,2,,,,,,
63,1,10/26/2023,This_Or_That_20231026_Lookit_SZ_3,164827,d5326b2b-2e6b-4a6c-b475-385f36c8f0f9,1826-2190,1860,5.10,female,en,benji,harry,order1_basketball_left_egg_right,egg,egg,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,phone,1,order1_vase_left_bear_right,vase,toy_bear,0,3,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_basketball_left_egg_right_granny,egg,egg,1,4,,,,,,
64,1,10/26/2023,This_Or_That_20231026_Lookit_SZ_5,164849,cab84728-9c58-4325-9eae-cdd27b9ba1b2,1826-2190,1920,5.26,female,en he,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,ducky,0,order1_egg_left_basketball_right,egg,egg,1,order1_bear_left_vase_right,vase,toy_bear,0,2,order1_phone_left_duck_right_granny,phone,phone,1,order1_vase_left_bear_right_granny,vase,vase,1,order1_basketball_left_egg_right_granny,egg,egg,1,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,3,,,,,,
65,1,12/2/2023,This_Or_That_20231202_Lookit_SZ_5,176248,4be7c2e8-9ee6-4783-bcfb-24e716501bf6,1826-2190,1830,5.01,male,en,benji,harry,order1_bear_left_vase_right,vase,toy_bear,0,order1_basketball_left_egg_right,egg,egg,1,order1_duck_left_phone_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,3,order1_phone_left_duck_right_granny,phone,phone,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_vase_left_bear_right_granny,vase,vase,1,order1_basketball_left_egg_right_granny,egg,egg,1,4,,,,,,
66,1,11/27/2023,This_Or_That_20231127_Lookit_SZ_2,174828,b00d9f5c-a602-4c26-917b-1eb9481aa023,1826-2190,2040,5.59,male,en,benji,harry,order1_vase_left_bear_right,vase,vase,1,order1_basketball_left_egg_right,egg,egg,1,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,ducky,0,3,order1_basketball_left_egg_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,phone,1,order1_bear_left_vase_right_granny,vase,vase,1,4,,,,,,
67,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_5,174994,c55b7ef2-d018-4275-9f59-da174c7d8edc,1826-2190,1980,5.42,female,en,benji,harry,order1_phone_left_duck_right,phone,phone,1,order1_basketball_left_egg_right,egg,egg,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,3,order1_phone_left_duck_right_granny,phone,ducky,0,order1_vase_left_bear_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,2,,,,,,
68,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_6,174995,7b79dcd3-d10f-4517-98f2-3e09a23f6c4a,1826-2190,1830,5.01,male,en,benji,harry,order1_egg_left_basketball_right,egg,basketball,0,order1_vase_left_bear_right,vase,toy_bear,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_phone_left_duck_right,phone,ducky,0,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,phone,1,4,,,,,,
69,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_9,175093,49229b37-6add-40a8-b825-d01e86a6b6ae,1826-2190,2010,5.51,female,,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_phone_left_duck_right,phone,phone,1,order1_icecream_left_sunscreen_right,ice_cream,ice_cream,1,3,order1_basketball_left_egg_right_granny,egg, basketball,0,order1_phone_left_duck_right_granny,phone,phone,1,order1_vase_left_bear_right_granny,vase,vase,1,order1_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,3,,,,,,
70,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_16,175209,92ea9b7e-ca1a-48ac-a75f-24e9a67726b2,1826-2190,2040,5.59,male,,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,sunscreen,0,order1_basketball_left_egg_right,egg,basketball,0,order1_bear_left_vase_right,vase,vase,1,order1_phone_left_duck_right,phone,phone,1,2,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,order1_duck_left_phone_right_granny,phone,phone,1,3,,,,,,
71,1,11/28/2023,This_Or_That_20231128_Lookit_SZ_18,175236,08dab85f-6950-44b3-a89d-b658612d7f2e,1826-2190,1860,5.10,male,en nl,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_duck_left_phone_right,phone,phone,1,order1_vase_left_bear_right,vase,toy_bear,0,order1_basketball_left_egg_right,egg,basketball,0,2,order1_duck_left_phone_right_granny,phone,phone,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_bear_left_vase_right_granny,vase,vase,1,order1_egg_left_basketball_right_granny,egg,basketball,0,2,,,,,,
72,1,11/29/2023,This_Or_That_20231129_Lookit_SZ_2,175589,01fe0214-77d8-40e7-902c-013717ef5490,1826-2190,2010,5.51,male,en es,benji,harry,order1_egg_left_basketball_right,egg,egg,1,order1_phone_left_duck_right,phone,phone,1,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_vase_left_bear_right,vase,vase,1,4,order1_vase_left_bear_right_granny,vase,vase,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order1_egg_left_basketball_right_granny,egg,egg,1,order1_phone_left_duck_right_granny,phone,phone,1,3,,,,,,
73,1,11/30/2023,This_Or_That_20231130_Lookit_SZ_1,175721,9a010c05-9601-4196-84f8-120f3f537e07,1826-2190,1860,5.10,female,en ,benji,harry,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_bear_left_vase_right,vase,toy_bear,0,order1_duck_left_phone_right,phone,ducky,0,order1_basketball_left_egg_right,egg,egg,1,2,order1_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order1_duck_left_phone_right_granny,phone,ducky,0,order1_bear_left_vase_right_granny,vase,toy_bear,0,order1_egg_left_basketball_right_granny,egg,egg,1,2,,,,,,
74,1,12/2/2023,This_Or_That_20231202_Lookit_SZ_1,176193,834a1ea4-b199-40a7-8ccb-0d8884e812f4,1826-2190,2130,5.84,female,en,benji,harry,order1_phone_left_duck_right,phone,ducky,0,order1_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order1_egg_left_basketball_right,egg,egg,1,order1_bear_left_vase_right,vase,toy_bear,0,2,order1_bear_left_vase_right_granny,vase,vase,1,order1_duck_left_phone_right_granny,phone,phone,1,order1_egg_left_basketball_right_granny,egg,egg,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,3,,,,,,
75,1,11/30/2023,This_Or_That_20231130_Lookit_SZ_4,175901,e6173d01-a89a-410a-862b-aedf748e9d7f,1826-2190,1860,5.10,female,en cmn,harry,harry,order1_bear_left_vase_right,vase,toy_bear,0,order1_egg_left_basketball_right,egg,egg,1,order1_sunscreen_left_icecream_right,ice_cream,sunscreen,0,order1_duck_left_phone_right,phone,phone,1,2,order1_egg_left_basketball_right_granny,egg,egg,1,order1_bear_left_vase_right_granny,vase,vase,1,order1_phone_left_duck_right_granny,phone,phone,1,order1_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,3,,,,,,
76,2,12/27/23,This_Or_That_20231227_Lookit_SZ_1,181726,38159fe1-cad5-4671-b81e-f7e31697a2eb,1826-2190,1830,5.01,female,en fr,benji,harry,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_duck_left_phone_right_granny,phone,ducky,0,order2_bear_left_vase_right_granny,vase,vase,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,2,order2_phone_left_duck_right,phone,ducky,0,order2_egg_left_basketball_right,egg,basketball,0,order2_bear_left_vase_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,1,,,,,,
77,2,12/27/23,This_Or_That_20231227_Lookit_SZ_2,181748,104a1451-7877-4dd6-a8cf-169be02c1732,1826-2190,1890,5.18,female,en so ur,benji,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_basketball_left_egg_right_granny,egg,basketball,0,3,order2_duck_left_phone_right,phone,phone,1,order2_vase_left_bear_right,vase,vase,1,order2_basketball_left_egg_right,egg,basketball,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,3,,,,,,
78,2,12/29/23,This_Or_That_20231229_Lookit_SZ_2,182118,86e87a10-bdff-4dae-b0df-676896ceb339,1826-2190,2130,5.84,male,en so,benji,benji,order2_duck_left_phone_right_granny,phone,phone,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_egg_left_basketball_right_granny,egg,basketball,0,2,order2_phone_left_duck_right,phone,phone,1,order2_basketball_left_egg_right,egg,basketball and egg,0,order2_bear_left_vase_right,vase,toy_bear,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,2,,,,,,
79,2,12/29/23,This_Or_That_20231229_Lookit_SZ_5,182224,3653b85f-adbc-4cd1-92c2-5d07bcb4fba3,1826-2190,1920,5.26,male,en,harry,harry,order2_vase_left_bear_right_granny,vase,vase,1,order2_basketball_left_egg_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_sunscreen_left_icecream_right_granny,ice_cream,sunscreen,0,3,order2_basketball_left_egg_right,egg,egg,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,phone,1,order2_bear_left_vase_right,vase,toy_bear,0,3,,,,,,
80,2,12/30/23,This_Or_That_20231230_Lookit_SZ_2,182377,a33ef95c-e1a6-4f6f-9fed-aec13215c6f9,1826-2190,1890,5.18,female,en,benji,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,ducky,0,order2_basketball_left_egg_right_granny,egg,basketball,0,1,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_vase_left_bear_right,vase,toy_bear,0,order2_egg_left_basketball_right,egg,basketball,0,order2_duck_left_phone_right,phone,ducky,0,1,,,,,,
81,2,12/31/23,This_Or_That_20231231_Lookit_SZ_1,182468,1cb7c452-9f03-4f04-bbd5-ebcedb4f4186,1826-2190,2070,5.67,male,en,benji,harry,order2_vase_left_bear_right_granny,vase,toy_bear,0,order2_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order2_egg_left_basketball_right_granny,egg,egg,1,order2_phone_left_duck_right_granny,phone,phone,1,2,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_egg_left_basketball_right,egg,basketball,0,order2_duck_left_phone_right,phone,phone,1,order2_bear_left_vase_right,vase,toy_bear,0,2,,,,,,
82,2,1/1/24,This_Or_That_20240101_Lookit_SZ_2,182612,745d7a9a-ad61-4ff1-8a68-50ae5dfd90f6,1826-2190,2010,5.51,male,en cmn es,benji,harry,order2_basketball_left_egg_right_granny,egg,egg,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_phone_left_duck_right_granny,phone,phone,1,order2_vase_left_bear_right_granny,vase,vase,1,4,order2_basketball_left_egg_right,egg,egg,1,order2_phone_left_duck_right,phone,ducky,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,,,,,,
83,2,1/1/24,This_Or_That_20240101_Lookit_SZ_6,182668,5e66057a-ae73-4ec5-9976-9dd885e001f6,1826-2190,2160,5.92,male,en,benji,harry,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_egg_left_basketball_right_granny,egg,egg,1,order2_duck_left_phone_right_granny,phone,phone,1,order2_bear_left_vase_right_granny,vase,vase,1,4,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,order2_duck_left_phone_right,phone,phone,1,order2_basketball_left_egg_right,egg,egg,1,order2_vase_left_bear_right,vase,vase,1,4,,,,,,
84,2,1/2/24,This_Or_That_20240102_Lookit_SZ_2,182773,812a5e4a-1661-4490-bb66-94be5949aec2,1826-2190,2100,5.75,female,en tl,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,order2_bear_left_vase_right_granny,vase,vase,1,order2_duck_left_phone_right_granny,phone,phone,1,3, order2_duck_left_phone_right,phone,phone,1,order2_vase_left_bear_right,vase,vase,1,order2_egg_left_basketball_right,egg,basketball,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,3,,,,,,
85,2,1/2/24,This_Or_That_20240102_Lookit_SZ_5,182827,3295228a-f54f-4e39-af4c-fd4acc3c9831,1826-2190,1890,5.18,male,en,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_icecream_left_sunscreen_right_granny,ice_cream,ice_cream,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_phone_left_duck_right_granny,phone,phone,1,4,order2_bear_left_vase_right,vase,vase,1,order2_egg_left_basketball_right,egg,basketball,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_phone_left_duck_right,phone,ducky,0,2,,,,,,
86,2,1/2/24,This_Or_That_20240102_Lookit_SZ_9,182900,03b3ffe8-3d3e-402d-8b36-79637d71fe61,1826-2190,1860,5.10,male,en,benji,harry,order2_egg_left_basketball_right_granny,egg,egg,1,order2_vase_left_bear_right_granny,vase,vase,1,order2_duck_left_phone_right_granny,phone,ducky,0,order2_icecream_left_sunscreen_right_granny,ice_cream,sunscreen,0,2,order2_phone_left_duck_right,phone,phone,1,order2_egg_left_basketball_right,egg,basketball,0,order2_vase_left_bear_right,vase,toy_bear,0,order2_icecream_left_sunscreen_right,ice_cream,ice_cream,1,2,,,,,,
87,2,1/5/24,This_Or_That_20240105_Lookit_SZ_10,183513,9f5870b2-5001-405c-bc0e-66f811445f31,1826-2190,1890,5.18,male,en,benji,harry,order2_bear_left_vase_right_granny,vase,toy_bear,0,order2_sunscreen_left_icecream_right_granny,ice_cream,ice_cream,1,order2_egg_left_basketball_right_granny,egg,basketball,0,order2_phone_left_duck_right_granny,phone,phone,1,2,order2_bear_left_vase_right,vase,vase,1,order2_egg_left_basketball_right,egg,basketball,0,order2_sunscreen_left_icecream_right,ice_cream,ice_cream,1,order2_duck_left_phone_right,phone,phone,1,3,,,,,,
